Night,fert,Year   ,Cross,Species,,,
8/22/2019,92.45885891,Year 1 (2019),55-79,O.faveolata,,,
8/22/2019,80.16367396,Year 1 (2019),55-90,O.faveolata,,,
8/22/2019,86.00461738,Year 1 (2019),55-107,O.faveolata,,,
8/22/2019,93.50391324,Year 1 (2019),56-52,O.faveolata,,,
8/22/2019,1.406234712,Year 1 (2019),56-53,O.faveolata,,,
8/22/2019,90.77115717,Year 1 (2019),56-54,O.faveolata,,,
8/22/2019,89.08914346,Year 1 (2019),56-55,O.faveolata,,,
8/22/2019,84.65294915,Year 1 (2019),56-57,O.faveolata,,,
8/22/2019,93.40501792,Year 1 (2019),56-77,O.faveolata,,,
8/22/2019,90.01070137,Year 1 (2019),56-79,O.faveolata,,,
8/22/2019,82.56721044,Year 1 (2019),56-90,O.faveolata,,,
8/22/2019,82.13292557,Year 1 (2019),56-107,O.faveolata,,,
8/22/2019,92.68494229,Year 1 (2019),57-52,O.faveolata,,,
8/22/2019,68.45430739,Year 1 (2019),57-53,O.faveolata,,,
8/22/2019,46.23485665,Year 1 (2019),57-56,O.faveolata,,,
8/22/2019,91.74688513,Year 1 (2019),57-77,O.faveolata,,,
8/22/2019,87.8067966,Year 1 (2019),57-79,O.faveolata,,,
8/22/2019,80.02422127,Year 1 (2019),57-90,O.faveolata,,,
8/22/2019,71.62841937,Year 1 (2019),57-107,O.faveolata,,,
8/22/2019,96.03997418,Year 1 (2019),77-52,O.faveolata,,,
8/22/2019,97.23613444,Year 1 (2019),77-53,O.faveolata,,,
8/22/2019,94.8641132,Year 1 (2019),77-54,O.faveolata,,,
8/22/2019,90.13444591,Year 1 (2019),77-55,O.faveolata,,,
8/22/2019,67.08698118,Year 1 (2019),77-56,O.faveolata,,,
8/22/2019,89.04418844,Year 1 (2019),77-57,O.faveolata,,,
8/22/2019,91.82535475,Year 1 (2019),77-79,O.faveolata,,,
8/22/2019,82.80286255,Year 1 (2019),77-90,O.faveolata,,,
8/22/2019,86.2791978,Year 1 (2019),77-107,O.faveolata,,,
8/22/2019,96.63666883,Year 1 (2019),79-52,O.faveolata,,,
8/22/2019,96.22890121,Year 1 (2019),79-53,O.faveolata,,,
8/22/2019,95.69034174,Year 1 (2019),79-54,O.faveolata,,,
8/22/2019,92.59231911,Year 1 (2019),79-55,O.faveolata,,,
8/22/2019,68.53932584,Year 1 (2019),79-56,O.faveolata,,,
8/22/2019,90.88790275,Year 1 (2019),79-57,O.faveolata,,,
8/22/2019,95.91649587,Year 1 (2019),79-77,O.faveolata,,,
8/22/2019,84.12924734,Year 1 (2019),79-90,O.faveolata,,,
8/22/2019,15.55884036,Year 1 (2019),79-107,O.faveolata,,,
8/22/2019,97.78987054,Year 1 (2019),90-52,O.faveolata,,,
8/22/2019,91.30861526,Year 1 (2019),90-53,O.faveolata,,,
8/22/2019,95.29020362,Year 1 (2019),90-54,O.faveolata,,,
8/22/2019,89.98621507,Year 1 (2019),90-55,O.faveolata,,,
8/22/2019,59.96609216,Year 1 (2019),90-56,O.faveolata,,,
8/22/2019,88.98881931,Year 1 (2019),90-57,O.faveolata,,,
8/22/2019,93.36961851,Year 1 (2019),90-77,O.faveolata,,,
8/22/2019,95.20158754,Year 1 (2019),90-79,O.faveolata,,,
8/22/2019,87.14665389,Year 1 (2019),90-107,O.faveolata,,,
8/22/2019,93.52914794,Year 1 (2019),107-52,O.faveolata,,,
8/22/2019,92.63379904,Year 1 (2019),107-53,O.faveolata,,,
8/22/2019,93.00606889,Year 1 (2019),107-54,O.faveolata,,,
8/22/2019,90.42879999,Year 1 (2019),107-55,O.faveolata,,,
8/22/2019,58.33989133,Year 1 (2019),107-56,O.faveolata,,,
8/22/2019,83.41740285,Year 1 (2019),107-57,O.faveolata,,,
8/22/2019,95.26675903,Year 1 (2019),107-77,O.faveolata,,,
8/22/2019,1.952003284,Year 1 (2019),107-79,O.faveolata,,,
8/22/2019,77.17590095,Year 1 (2019),107-90,O.faveolata,,,
8/23/2019,63.06631403,Year 1 (2019),53x58,O.faveolata,,,
8/23/2019,41.75945424,Year 1 (2019),53x79,O.faveolata,,,
8/23/2019,53.33887755,Year 1 (2019),53x97,O.faveolata,,,
8/23/2019,38.80916848,Year 1 (2019),53x102,O.faveolata,,,
8/23/2019,97.63962604,Year 1 (2019),79x58,O.faveolata,,,
8/23/2019,98.76724694,Year 1 (2019),79x97,O.faveolata,,,
8/23/2019,94.40404162,Year 1 (2019),79x102,O.faveolata,,,
8/23/2019,93.19905063,Year 1 (2019),97x58,O.faveolata,,,
8/23/2019,88.16411769,Year 1 (2019),58x102,O.faveolata,,,
8/23/2019,70.63838,Year 1 (2019),97x102,O.faveolata,,,
8/23/2019,59.90393528,Year 1 (2019),58-53,O.faveolata,,,
8/23/2019,50.75395342,Year 1 (2019),79-53,O.faveolata,,,
8/23/2019,39.22425404,Year 1 (2019),97-53,O.faveolata,,,
8/23/2019,82.65942334,Year 1 (2019),102-53,O.faveolata,,,
8/23/2019,30.22267341,Year 1 (2019),58-79,O.faveolata,,,
8/23/2019,62.63411013,Year 1 (2019),97-79,O.faveolata,,,
8/23/2019,95.59838857,Year 1 (2019),102-79,O.faveolata,,,
8/23/2019,97.36250269,Year 1 (2019),58-97,O.faveolata,,,
8/23/2019,97.30805631,Year 1 (2019),102-58,O.faveolata,,,
8/23/2019,98.4729779,Year 1 (2019),102-97,O.faveolata,,,
8/17/2022,76.56705114,Year 2 (2022),01x02 ,O.faveolata,,,
8/17/2022,85.81738451,Year 2 (2022),01x07 ,O.faveolata,,,
8/17/2022,83.07428912,Year 2 (2022),01x09 ,O.faveolata,,,
8/17/2022,94.3768417,Year 2 (2022),01x04 ,O.faveolata,,,
8/17/2022,92.54292571,Year 2 (2022),02x01 ,O.faveolata,,,
8/17/2022,76.8730496,Year 2 (2022),02x07 ,O.faveolata,,,
8/17/2022,92.21478712,Year 2 (2022),02x09 ,O.faveolata,,,
