Night,fert,Year   ,Cross,Species,,,
8/15/2022,7.848897135,Year 2 (2022),028-121 ,A.cervicornis,,,
8/15/2022,23.92810791,Year 2 (2022),031-048 ,A.cervicornis,,,
8/15/2022,29.40907331,Year 2 (2022),031-056 ,A.cervicornis,,,
8/15/2022,33.00803159,Year 2 (2022),031-M13 ,A.cervicornis,,,
8/15/2022,11.99331898,Year 2 (2022),031-104 ,A.cervicornis,,,
8/15/2022,6.807181889,Year 2 (2022),031-121 ,A.cervicornis,,,
8/15/2022,29.78783321,Year 2 (2022),048-056 ,A.cervicornis,,,
8/15/2022,32.87659201,Year 2 (2022),048-M13 ,A.cervicornis,,,
8/15/2022,16.8396867,Year 2 (2022),048-104 ,A.cervicornis,,,
8/15/2022,8.912037037,Year 2 (2022),048-121 ,A.cervicornis,,,
8/15/2022,58.08080808,Year 2 (2022),056-M13 ,A.cervicornis,,,
8/15/2022,21.88548538,Year 2 (2022),056-104 ,A.cervicornis,,,
8/15/2022,28.36246201,Year 2 (2022),056-121 ,A.cervicornis,,,
8/15/2022,15.76035782,Year 2 (2022),M13-104 ,A.cervicornis,,,
8/15/2022,14.00759734,Year 2 (2022),M13-121 ,A.cervicornis,,,
8/15/2022,25.18199234,Year 2 (2022),104-121 ,A.cervicornis,,,
8/15/2022,0.529100529,Year 2 (2022),B8-007 ,A.cervicornis,,,
8/15/2022,18.36572152,Year 2 (2022),025-007 ,A.cervicornis,,,
8/15/2022,41.44728238,Year 2 (2022),028-007 ,A.cervicornis,,,
8/15/2022,16.45210728,Year 2 (2022),031-007 ,A.cervicornis,,,
8/15/2022,19.17177629,Year 2 (2022),048-007 ,A.cervicornis,,,
8/15/2022,33.30174656,Year 2 (2022),056-007 ,A.cervicornis,,,
8/15/2022,25.14619883,Year 2 (2022),M13-007 ,A.cervicornis,,,
8/15/2022,1.537176274,Year 2 (2022),104-007 ,A.cervicornis,,,
8/15/2022,39.91013072,Year 2 (2022),121-007 ,A.cervicornis,,,
8/15/2022,78.81241565,Year 2 (2022),025-B8 ,A.cervicornis,,,
8/15/2022,91.99284512,Year 2 (2022),028-B8 ,A.cervicornis,,,
8/15/2022,47.81754799,Year 2 (2022),031-B8 ,A.cervicornis,,,
8/15/2022,60.66531685,Year 2 (2022),048-B8 ,A.cervicornis,,,
8/15/2022,86.94388049,Year 2 (2022),056-B8 ,A.cervicornis,,,
8/15/2022,38.17805777,Year 2 (2022),M13-B8 ,A.cervicornis,,,
8/15/2022,0.529100529,Year 2 (2022),104-B8 ,A.cervicornis,,,
8/15/2022,82.99341682,Year 2 (2022),121-B8 ,A.cervicornis,,,
8/15/2022,31.52875587,Year 2 (2022),028-025 ,A.cervicornis,,,
8/15/2022,23.19790538,Year 2 (2022),031-025 ,A.cervicornis,,,
8/15/2022,27.93317793,Year 2 (2022),048-025 ,A.cervicornis,,,
8/15/2022,28.82498058,Year 2 (2022),056-025 ,A.cervicornis,,,
8/15/2022,21.41614221,Year 2 (2022),M13-025 ,A.cervicornis,,,
8/15/2022,34.5190175,Year 2 (2022),104-025 ,A.cervicornis,,,
8/15/2022,32.62626263,Year 2 (2022),121-025 ,A.cervicornis,,,
8/15/2022,12.19047619,Year 2 (2022),031-028 ,A.cervicornis,,,
8/15/2022,16.01909995,Year 2 (2022),048-028 ,A.cervicornis,,,
8/15/2022,24.53383616,Year 2 (2022),056-028 ,A.cervicornis,,,
8/15/2022,15.60558683,Year 2 (2022),M13-028 ,A.cervicornis,,,
8/15/2022,31.83596891,Year 2 (2022),104-028 ,A.cervicornis,,,
8/15/2022,31.1323764,Year 2 (2022),121-028 ,A.cervicornis,,,
8/15/2022,16.08045977,Year 2 (2022),048-031 ,A.cervicornis,,,
8/15/2022,70.22357724,Year 2 (2022),056-031 ,A.cervicornis,,,
8/15/2022,32.14098979,Year 2 (2022),M13-031 ,A.cervicornis,,,
8/15/2022,77.89767379,Year 2 (2022),104-031 ,A.cervicornis,,,
8/15/2022,48.37094586,Year 2 (2022),121-031 ,A.cervicornis,,,
8/15/2022,45.15669516,Year 2 (2022),056-048 ,A.cervicornis,,,
8/15/2022,25.49223417,Year 2 (2022),M13-048 ,A.cervicornis,,,
8/15/2022,51.13378685,Year 2 (2022),104-048 ,A.cervicornis,,,
8/15/2022,52.44278046,Year 2 (2022),121-048 ,A.cervicornis,,,
8/15/2022,33.3974359,Year 2 (2022),M13-056 ,A.cervicornis,,,
8/15/2022,49.98481823,Year 2 (2022),104-056 ,A.cervicornis,,,
8/15/2022,42.33875587,Year 2 (2022),121-056 ,A.cervicornis,,,
8/15/2022,60.37131196,Year 2 (2022),104-M13 ,A.cervicornis,,,
8/15/2022,66.3823178,Year 2 (2022),121-M13 ,A.cervicornis,,,
8/15/2022,39.50734471,Year 2 (2022),121-104 ,A.cervicornis,,,
8/22/2019,94.76301718,Year 1 (2019),52-53,O.faveolata,,,
8/22/2019,96.32963824,Year 1 (2019),52-54,O.faveolata,,,
