Cross,Fert,Direction,Genet,Species,Year,Night
07x04 ,93.87967824,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
04x01 ,94.36740542,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x02 ,91.38070696,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x03 ,89.86376662,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x05 ,96.15295815,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x06 ,93.57271151,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x07 ,91.09219115,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x08 ,92.40554216,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x09 ,95.7117589,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x12 ,93.67414203,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x13 ,94.87959254,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x04 ,0.134952767,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
022-007 ,0.529100529,Ova,x007,ACER,Year 2-2022,ACER-8/15/2022
025-007 ,18.36572152,Ova,x007,ACER,Year 2-2022,ACER-8/15/2022
028-007 ,41.44728238,Ova,x007,ACER,Year 2-2022,ACER-8/15/2022
031-007 ,16.45210728,Ova,x007,ACER,Year 2-2022,ACER-8/15/2022
048-007 ,19.17177629,Ova,x007,ACER,Year 2-2022,ACER-8/15/2022
056-007 ,33.30174656,Ova,x007,ACER,Year 2-2022,ACER-8/15/2022
067-007 ,25.14619883,Ova,x007,ACER,Year 2-2022,ACER-8/15/2022
104-007 ,1.537176274,Ova,x007,ACER,Year 2-2022,ACER-8/15/2022
121-007 ,39.91013072,Ova,x007,ACER,Year 2-2022,ACER-8/15/2022
007-022 ,2.732240437,Ova,x22,ACER,Year 2-2022,ACER-8/15/2022
025-022 ,78.81241565,Ova,x22,ACER,Year 2-2022,ACER-8/15/2022
028-022 ,91.99284512,Ova,x22,ACER,Year 2-2022,ACER-8/15/2022
031-022 ,47.81754799,Ova,x22,ACER,Year 2-2022,ACER-8/15/2022
048-022 ,60.66531685,Ova,x22,ACER,Year 2-2022,ACER-8/15/2022
056-022 ,86.94388049,Ova,x22,ACER,Year 2-2022,ACER-8/15/2022
067-022 ,38.17805777,Ova,x22,ACER,Year 2-2022,ACER-8/15/2022
104-022 ,0.529100529,Ova,x22,ACER,Year 2-2022,ACER-8/15/2022
121-022 ,82.99341682,Ova,x22,ACER,Year 2-2022,ACER-8/15/2022
