cross,fert,time,clock,,,,,
ED2,18,539,5:56,,,,,
ED3,13.79310345,540,5:56,,,,,
FD1,24.3902439,541,5:57,,,,,
FD2,2.564102564,542,5:57,,,,,
FD3,6.12244898,543,5:57,,,,,
AE1,36.23188406,544,5:58,,,,,
AE2,41.17647059,545,5:58,,,,,
AE3,35.0877193,546,5:58,,,,,
BE1,38.70967742,547,5:59,,,,,
BE2,27.27272727,548,5:59,,,,,
BE3,47.54098361,549,5:59,,,,,
CE1,30.50847458,550,6:00,,,,,
CE2,36.95652174,551,6:00,,,,,
CE3,47.61904762,552,6:00,,,,,
DE1,0,553,6:01,,,,,
DE2,7.692307692,554,6:01,,,,,
DE3,6.52173913,555,6:01,,,,,
FE1,1.754385965,556,6:02,,,,,
FE2,0,557,6:02,,,,,
FE3,0,558,6:02,,,,,
AF1,72.72727273,559,6:03,,,,,
AF2,70.37037037,560,6:03,,,,,
AF3,27.27272727,561,6:03,,,,,
BF1,94.28571429,562,6:04,,,,,
BF2,96.875,563,6:04,,,,,
BF3,96.22641509,564,6:04,,,,,
CF1,90,565,6:05,,,,,
CF2,90,566,6:05,,,,,
CF3,69.23076923,567,6:05,,,,,
DF1,0,568,6:06,,,,,
DF2,0,569,6:06,,,,,
DF3,0,570,6:06,,,,,
EF1,64.51612903,571,6:07,,,,,
EF2,16.66666667,572,6:07,,,,,
EF3,53.19148936,573,6:07,,,,,
